phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408340,https://conf-bn-cr027.webcindario.com/,http://www.phishtank.com/phish_detail.php?phish_id=8408340,2023-12-31 22:36:14+00:00,yes,2023-12-31T22:42:24+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408339,https://new.express.adobe.com/webpage/qP47Wysjr2uf1,http://www.phishtank.com/phish_detail.php?phish_id=8408339,2023-12-31 22:35:18+00:00,yes,2023-12-31T22:42:24+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408329,https://cloudflare-ipfs.com/ipfs/QmQ6TaMx2irPurLzd4eN4CjawGvkgAZj4NK2D355zNJkzj,http://www.phishtank.com/phish_detail.php?phish_id=8408329,2023-12-31 21:01:55+00:00,yes,2023-12-31T21:03:56+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408272,https://connectchase23.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=8408272,2023-12-31 19:53:57+00:00,yes,2023-12-31T20:02:47+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408271,https://connectchase23.firebaseapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=8408271,2023-12-31 19:53:47+00:00,yes,2023-12-31T20:02:47+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408184,https://hindmanauctions.pages.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8408184,2023-12-31 17:13:45+00:00,yes,2023-12-31T17:22:59+00:00,yes,Adobe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8408147,https://edfkjhnedf23w.ulcraft.com/,http://www.phishtank.com/phish_detail.php?phish_id=8408147,2023-12-31 14:51:37+00:00,yes,2023-12-31T15:04:19+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8407926,https://pub-06e43cd3590241a084b6d1224a1e15a1.r2.dev/usdfyeyrffhsjdfhsjhfgzyuerfjhfsdjfhjfeyrfhedfektyrguegtreyutikreuyfgt.html,http://www.phishtank.com/phish_detail.php?phish_id=8407926,2023-12-31 10:55:47+00:00,yes,2023-12-31T11:09:30+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8407857,https://fixe-orange.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8407857,2023-12-31 05:36:42+00:00,yes,2023-12-31T05:43:15+00:00,yes,Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
