phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865971,http://www.formbuddy.com/cgi-bin/formdisp.pl?u=security=M&amp;f=verification,http://www.phishtank.com/phish_detail.php?phish_id=1865971,2013-05-28 15:59:31+00:00,yes,2013-05-28T22:13:12+00:00,yes,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859561,http://www.katiharyellowpages.in/libraries/joomla/cache/pnc/www.pnc.co...,https://phishtank.com/phish_detail.php?phish_id=1859561,2013-05-24 08:38:00+00:00,yes,2013-05-24T08:38:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859559,http://www.jinho.or.kr/bbs/data/news/1095379788/chasesecurityupdate/Lo...,https://phishtank.com/phish_detail.php?phish_id=1859559,2013-05-24 08:38:00+00:00,yes,2013-05-24T08:38:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859556,http://www.ijeditores.com.ar/manuales/img/files/mi/Account.details.htm...,https://phishtank.com/phish_detail.php?phish_id=1859556,2013-05-24 08:37:00+00:00,yes,2013-05-24T08:37:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859554,http://www.euterpespleasure.com/wp/wp-admin/Remax/remax.htm...,https://phishtank.com/phish_detail.php?phish_id=1859554,2013-05-24 08:37:00+00:00,yes,2013-05-24T08:37:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859553,http://www.eresgiyim.com/%7Eerdemcet/kbc/online-update/logon.html...,https://phishtank.com/phish_detail.php?phish_id=1859553,2013-05-24 08:37:00+00:00,yes,2013-05-24T08:37:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859551,http://quenotebochen.com/wells/www.wellsfargo/online.htm...,https://phishtank.com/phish_detail.php?phish_id=1859551,2013-05-24 08:37:00+00:00,yes,2013-05-24T08:37:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859550,http://www.decio.digitalc.com.br/wp-includes/googledocss/googledocss/g...,https://phishtank.com/phish_detail.php?phish_id=1859550,2013-05-24 08:36:00+00:00,yes,2013-05-24T08:36:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859549,http://www.daotaolaixe.net.vn/docg/googledocss/sss/index.htm...,https://phishtank.com/phish_detail.php?phish_id=1859549,2013-05-24 08:36:00+00:00,yes,2013-05-24T08:36:00+00:00,no,Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
